,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
20,Jacobs,Caleb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,3.0,2,0,0,0,0,0,0,.000,5,6,6,2,4,0,14.000,2.333,15,57,32,25,19.000,3.800,6,.400,3,2,2,1,2.220,.561,9,.600,.667,.111,.222,.667,2,2,0,0,2,13,9,.158,9.333,.267,2.000,.556,.444,.222,.778,1,3,.333,.385,0,.556,0,0,0,1,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
21,Immke,Isaiha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,2.1,1,0,0,0,0,0,0,.000,1,3,3,3,4,0,9.000,1.714,12,53,34,19,22.714,4.417,6,.500,0,0,0,0,3.050,.642,10,.833,.700,.200,.100,1.286,0,2,1,1,1,7,8,.151,12.000,.333,1.333,.800,.200,.400,.600,1,2,.500,.143,0,.200,5,0,0,2,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,1,0,0,0,0,1.000,0.0,0,0,0,.000,0,0
23,Comia,Jayden,2,7,7,1,1,0,0,0,1,1,0,0,1,0,0,2,.143,.143,.143,.286,.000,.000,.714,0,0,0,.000,0,0,0,0,1,.000,.500,28,4.000,2,.286,2,.286,0.00%,80.00%,0,0,3,1,2,4,57.14%,.200,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,8,2,3,3,1,0,.625,0.0,0,0,0,.000,0,0
24,Agee,Aaron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,2.0,1,0,1,0,0,0,0,.000,2,0,0,1,2,0,.000,1.500,8,33,23,10,16.500,4.125,5,.625,1,1,1,1,2.465,.697,6,.750,.667,.167,.167,.500,1,0,0,0,0,7,1,.030,7.000,.250,2.000,.400,.600,.200,.800,1,2,.500,.286,0,.400,2,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,0,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
25,Lynch,Sean,2,9,7,1,0,0,0,1,2,2,1,0,2,0,1,2,.143,.333,.571,.905,9.000,.500,.714,1,1,0,1.000,0,0,0,1,4,7.000,.000,29,3.222,0,.000,1,.111,20.00%,60.00%,0,0,7,2,3,5,55.56%,.000,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,3,0,3,0,0,0,1.000,0.0,0,0,0,.000,0,0
27,McCluskey,Griffin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,4.0,1,1,0,1,0,0,0,.000,3,2,0,2,6,1,.000,1.250,18,67,45,22,16.750,3.722,7,.389,2,1,1,2,2.098,.672,12,.667,.750,.000,.167,.500,2,1,2,1,0,15,12,.179,10.500,.333,3.000,.556,.444,.444,.556,1,2,.500,.200,0,.333,4,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
29,Sanchez,Julius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,4.0,1,1,0,0,0,0,0,.000,2,1,1,4,5,0,1.750,1.500,17,78,42,36,19.500,4.588,5,.294,3,2,1,1,3.253,.538,8,.471,.625,.250,.000,1.000,1,1,1,0,1,13,16,.205,8.750,.294,1.250,.750,.250,.750,.250,5,1,5.000,.154,0,.250,4,0,0,2,1,.667,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,1,0,0,0,0,1.000,0.0,0,0,0,.000,0,0
31,Glick,Cameron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,3.2,1,1,0,1,0,0,0,.000,3,1,1,1,1,2,1.909,1.091,16,68,33,35,18.545,4.250,5,.312,4,1,1,1,4.765,.485,4,.250,.250,.250,.250,.273,3,0,0,0,1,13,5,.074,1.909,.062,1.000,.500,.500,.667,.333,6,3,2.000,.231,0,.250,1,0,0,1,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
32,Coartney,Ty,3,7,6,3,1,1,0,1,4,1,0,0,0,0,1,2,.500,.571,1.167,1.738,7.000,.500,.667,0,0,0,.000,0,0,0,2,7,6.000,.500,27,3.857,1,.143,1,.143,25.00%,50.00%,0,0,2,2,3,4,57.14%,.667,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,3,1,2,0,0,0,1.000,0.0,0,0,0,.000,0,0
Team,Totals,,6,189,158,35,22,8,2,3,24,26,8,2,9,0,23,38,.222,.349,.354,.704,8.217,.605,.759,9,11,2,.846,3,1,0,13,56,52.667,.241,701,3.709,20,.106,27,.143,30.00%,47.50%,0,0,37,9,43,85,44.97%,.274,40.0,6,6,1,5,0,0,0,.000,42,40,33,35,41,6,5.775,1.925,201,821,457,364,20.525,4.085,79,.393,26,11,9,9,4.530,.557,109,.542,.596,.128,.229,.875,17,13,9,3,9,156,98,.119,7.175,.204,1.171,.613,.387,.407,.593,27,37,.730,.269,3,.336,41,0,0,12,2,.857,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,161,33,120,8,2,0,.950,40.0,2,12,2,.143,1,0
