,,,Offensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Defensive Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,H,1B,2B,3B,HR,RBI,R,HBP,ROE,FC,CI,BB,SO,AVG,OBP,SLG,OPS,PA/BB,BB/K,C%,K-L,SB,CS,SB%,PIK,GIDP,GITP,XBH,TB,AB/HR,BA/RISP,PS,PS/PA,2S+3,2S+3%,6+,6+%,FLB%,GB%,SAC,SF,LOB,2OUTRBI,HHB,QAB,QAB%,BABIP,IP,GP,GS,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,HBP,ERA,WHIP,BF,#P,TS,TB,P/IP,P/BF,<3,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,WP,ABA,SM,SM%,K/G,K/BF,K/BB,WEAK%,HHB%,GB%,FLB%,GO,FO,GO/FO,BAA,HR,BABIP,LOB,BK,PIK,SB,CS,SB%,FB,FBS,FBS%,CT,CTS,CTS%,CB,CBS,CBS%,SL,SLS,SLS%,CH,CHS,CHS%,OS,OSS,OSS%,TC,A,PO,E,DP,TP,FPCT,cINN,cPB,cSB,cCS,cCS%,cPIK,cCI
18,Pemberton,Kolby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,12.2,4,4,1,1,0,0,0,.000,20,14,10,7,7,1,5.526,2.132,67,234,148,86,18.474,3.493,35,.522,8,3,3,1,4.510,.632,42,.627,.619,.071,.310,.553,8,1,1,0,1,59,25,.107,3.868,.104,1.000,.615,.385,.365,.635,9,19,.474,.339,1,.373,15,0,0,3,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,0,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
19,Bonaparte,Karson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,2.0,1,0,1,0,0,0,0,.000,1,1,1,1,4,1,3.500,1.000,9,43,24,19,21.500,4.778,2,.222,1,0,0,0,1.730,.558,3,.333,.667,.000,.333,.500,1,0,0,0,1,7,4,.093,14.000,.444,4.000,1.000,.000,.667,.333,1,1,1.000,.143,0,.333,2,0,0,1,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
19,O' Gorman,Graham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,9.1,8,0,0,0,0,0,0,.000,11,4,4,5,8,1,3.000,1.714,44,162,92,70,17.357,3.682,22,.500,4,2,2,2,3.125,.568,22,.500,.591,.091,.273,.536,4,2,2,1,1,38,23,.142,6.000,.182,1.600,.621,.379,.429,.571,7,7,1.000,.289,0,.367,18,0,0,4,1,.800,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,0,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
20,Jacobs,Caleb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,3.0,2,0,0,0,0,0,0,.000,5,6,6,2,4,0,14.000,2.333,15,57,32,25,19.000,3.800,6,.400,3,2,2,1,2.220,.561,9,.600,.667,.111,.222,.667,2,2,0,0,2,13,9,.158,9.333,.267,2.000,.556,.444,.222,.778,1,3,.333,.385,0,.556,0,0,0,1,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
20,O' Gorman,Will,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,12.0,6,2,0,1,0,1,1,.000,10,7,6,11,11,2,3.500,1.750,58,231,136,95,19.250,3.983,24,.414,8,3,3,3,4.985,.589,29,.500,.690,.069,.172,.917,5,2,2,1,2,44,16,.069,6.417,.190,1.000,.618,.382,.412,.588,7,14,.500,.227,1,.273,16,1,0,2,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,2,1,0,1,0,0,.500,0.0,0,0,0,.000,0,0
21,Immke,Isaiha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,2.1,1,0,0,0,0,0,0,.000,1,3,3,3,4,0,9.000,1.714,12,53,34,19,22.714,4.417,6,.500,0,0,0,0,3.050,.642,10,.833,.700,.200,.100,1.286,0,2,1,1,1,7,8,.151,12.000,.333,1.333,.800,.200,.400,.600,1,2,.500,.143,0,.200,5,0,0,2,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,1,1,0,0,0,0,1.000,0.0,0,0,0,.000,0,0
21,Glick,Cameron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,6.1,3,2,0,2,0,0,0,.000,6,8,4,6,5,4,4.421,1.895,35,152,72,80,24.000,4.343,8,.229,5,1,1,1,5.687,.474,9,.257,.556,.111,.222,.947,5,4,1,1,4,25,13,.086,5.526,.143,.833,.550,.450,.600,.400,6,6,1.000,.240,0,.300,3,1,0,4,0,1.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,0,0,0,0,.000,0.0,0,0,0,.000,0,0
23,Comia,Jayden,13,46,42,9,7,1,1,0,4,5,1,0,3,0,2,10,.214,.261,.286,.547,23.000,.200,.762,2,0,0,.000,0,1,0,2,12,.000,.267,149,3.239,3,.065,5,.109,33.33%,42.42%,0,1,18,2,13,21,45.65%,.273,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,31,19,8,4,5,0,.871,0.0,0,0,0,.000,0,0
24,Agee,Aaron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0,0,0,.000,0,0,0,0,0,.000,.000,0,.000,0,.000,0,.000,0.00%,0.00%,0,0,0,0,0,0,0.00%,.000,8.0,3,1,1,0,0,0,0,.000,11,4,3,1,10,0,2.625,1.500,34,123,86,37,15.375,3.618,18,.529,4,3,3,4,2.246,.699,21,.618,.667,.048,.286,.125,7,0,0,0,0,33,16,.130,8.750,.294,10.000,.458,.542,.478,.522,6,5,1.200,.333,1,.455,5,0,0,0,1,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,3,2,1,0,0,0,1.000,0.0,0,0,0,.000,0,0
25,Lynch,Sean,10,35,26,6,3,2,0,1,5,4,2,0,2,0,6,10,.231,.400,.423,.823,5.833,.600,.615,5,3,0,1.000,0,0,0,3,11,26.000,.250,136,3.886,3,.086,7,.200,35.29%,47.06%,0,1,22,2,8,20,57.14%,.312,0.0,0,0,0,0,0,0,0,.000,0,0,0,0,0,0,.000,.000,0,0,0,0,.000,.000,0,.000,0,0,0,0,.000,.000,0,.000,.000,.000,.000,.000,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,.000,0,0,.000,.000,0,.000,0,0,0,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,0,0,.000,9,1,8,0,0,0,1.000,0.0,0,0,0,.000,0,0
